technology	D3	D2	D1	C3	C2	C1	B3	B2	B1	A3	A2	A1	label	info	barrier
Agronomy practices	1	0	0	1	1	0	0	1	0	0	1	0	1	This abatement option improving agriculture mechanisms, using less intensive cropping system, new seeding methods and managing the rotation of crops. This  could lead to better sustainability of the soil and an estimated emission reduction of 0.2 tCO2e/hectare per year. The estimated abatement potential is: 255 MtCO2e in 2030	The main challenge of changing agronomy practices lies with farmers not being used to new seeds and methods. This may lead to different pay-back times, disturbed regular production and a demanded change in behavior.
Air transport	1	0	0	1	0	1	0	0	1	0	0	1	2	This abatement option focuses on different processes within the air transport sector in three categories: the operations-efficiency improvements, using alternative fuels and improving infrastructure and air-traffic management. The estimated abatement potential is: 256 MtCO2e in 2030	Changing fuel for air transport requires higher production costs and might imply a change in suppliers, hampering the implementation. Furthermore, some physical changes might be necessary in the alternatives fuels infrastructure. For improving operational efficiency, the main challenge lies in renewed cooperation between actors as air traffic control, airports etc. 
Battery Electric Vehicles	2	1	1	0	0	1	1	0	2	1	1	1	3	This abatement option considers full electric vehicles using chemical energy to store electricity in rechargeable battery backs. This option is expected to have a great emission-reduction potential, but market introduction still is relatively slow. A reduction of about 3.2 tCO2e/year could be accomplished compared to using conventional gasoline ICE vehicles. The estimated abatement potential is: 400 MtCO2e in 2030	Main barriers to implementation of the electric vehicles are associated to the costs and uncertainty of the infrastructure, the range of the car and the higher upfront investments that are needed. The most complexity arises from the infrastructural perspective as this is still very minimal. This requires a change in behavior and new collaborations between the different actors. 
Bioethanol lignocellulosic	1	1	1	2	1	1	1	1	1	1	2	1	4	This abatement option considers the second generation biofuel bioethanol lignocellulosic. This is produced from sources such as agricultural residues, forest residues, woody energy crops and feedstock. The CO2 reduction potential can reach up to 90 percent.  The estimated abatement potential is: 248 MtCO2e in 2030	The technology is not yet proven on a large scale, which leads to high uncertainties. It could therefore still make efficiency improvements that could lead to better pay-back times as these are currently very high. Furthermore, coordination amongst actors is required in terms of production, but also when it comes to using new biofuels as not all motors are able to cope with the second generation biofuels
Building efficiency new built	0	1	1	0	0	1	0	1	1	1	1	2	5	This abatement option considers the improvement of energy efficiency levels for newly built housing. The demand of energy consumption can be improved through improved building design related to better insulation,  better use of materials and higher efficiency water heating. Leadership in Energy and Environmental Design (LEED) is one of the leading programs and can lead to a GHG reduction of 16%. The estimated abatement potential is: 624 MtCO2e in 2030	Investment costs for buildings with higher efficiency are approximately 8% higher than for conventional buildings. This is relatively quickly paid back. On a physical level, changes are fairly minor and the knowledge on technologies is often present. As multiple parties will be involved with the construction of new buildings, possible conflicts might arise and there is mutual dependence. Furthermore, the frequency of opportunity is fairly limited as buildings cannot be built anytime, anyplace. 
Cars full hybrid	0	1	0	0	0	0	0	0	0	0	1	1	6	This abatement option considers the transition to more vehicles with both an ICE and electric motor onboard.  It is calibrated to run on the electric motor or ICE motor depending on the conditions. Roll-out of full hybrid cars could lead to a reduction 2.7 tCO2e/year compared to using conventional ICE vehicles. The estimated abatement potential is: 359 MtCO2e in 2030	The main barriers to implementation lie in the category of costs and financing. Full hybrid cars are slightly more expensive than conventional cars with an internal combustion engine. Apart from this, a car is only bought once every 5-10 years, limiting the frequency of opportunity. 
Cars plug-in hybrid	1	1	1	0	0	1	1	1	1	0	1	1	7	The introduction and further development of plug-in hybrid vehicles, i.e. full-hybrids that can be recharged both by the vehicle-driving cycle and by external sources, enabling the vehicle to run more frequently on electrical power.  An emission reduction of 2.7 tCO2e/year compared to the gasoline ICE vehicles can be achieved. The estimated abatement potential is: 282 MtCO2e in 2030	Requires an upfront investment, although it is not much higher compared to conventional ICE vehicles. High barriers are present in the need for a charging infrastructure. This has its impact on a multi-actor level as many different parties are involved and dependent on each other. Furthermore, it has an impact on the physical environment. The presence of range anxiety for plug-in vehicles leads to a required change in behavior, although this is less as is the case for Battery Electric Vehicles. 
Clinker substition by fly ash	1	0	0	0	1	1	0	1	2	0	0	0	8	Reducing the clinker content in cement, by substituting clinker with industrial components such as fly ash. This can reduce process and combustion emissions as well as power needed for clinker production. The estimated abatement potential is: 189 MtCO2e in 2030	The main implementation barriers lie in the dependence on other actors that need to supply fly ash to cement producers. Furthermore, new technologies and transport systems hamper easy implementation of this carbon abatement option.
Coal CCS new built	0	2	1	2	0	2	1	2	2	2	2	2	9	This abatement option considers the carbon capture and storage in newly built coal power plants. As the design of new built plans can be made from scratch, it has more potential for efficient capture of carbon emissions. The total emission saving from capture and avoidance amounts to 1.5 -1.8 tCO2/MWh. The estimated abatement potential is: 1620 MtCO2e in 2030	High upfront investments are required with long pay-back times. Furthermore, conflicts might arise for storage of the captured carbon and many actors are involved in both the supply chain as in the debate (environmental agencies). On a physical level, the physical impact on transport and storage is considerate and there is still uncertainty concerning the effectiveness on a high level. A final barrier is the frequency of opportunity for the construction of a new CCS power plant. 
Coal CCS retrofit	2	2	1	2	2	2	1	2	2	2	2	2	10	This abatement option considers the carbon capture in existing coal power plants by capturing the CO2 from the point source of exhaust gases. Storing will consecutively be stored in deep geological formations.  The estimated abatement potential is: 572 MtCO2e in 2030	High upfront investments are required with long pay-back times. Furthermore, conflicts might arise for storage of the captured carbon and many actors are involved in both the supply chain as in the debate (environmental agencies). On a physical level, the physical impact on transport and storage is considerate and there is still uncertainty concerning the effectiveness on a high level. Furthermore, the installation requires at least a year. A final barrier is the frequency of opportunity for the construction of a new CCS power plant. 
